tick,flight_id,origin,destination,phase,altitude,delay
23,FL008,KSEA,KGEG,Approach,3000,2
23,FL009,KEUG,KBFI,Landing,0,2
23,FL010,KGEG,KRNT,Descent,15000,2
23,FL011,KGEG,KOLM,Descent,15000,4
23,FL012,KTTD,KBFI,Approach,3000,2
23,FL013,KGEG,KTTD,Cruise,35000,6
23,FL014,KEUG,KTTD,Approach,3000,4
24,FL000,KTTD,KEUG,Landing,0,0
24,FL001,KPDX,KBFI,Landing,0,0
24,FL002,KPDX,KRNT,Approach,3000,2
24,FL003,KGEG,KRNT,Approach,3000,0
24,FL004,KRNT,KSEA,Approach,3000,0
24,FL005,KEUG,KRNT,Approach,3000,0
24,FL006,KPAE,KBOI,Landing,0,0
24,FL007,KSEA,KGEG,Approach,3000,0
24,FL008,KSEA,KGEG,Landing,0,2
24,FL009,KEUG,KBFI,Landing,0,2
24,FL010,KGEG,KRNT,Approach,3000,2
24,FL011,KGEG,KOLM,Descent,15000,4
24,FL012,KTTD,KBFI,Approach,3000,2
24,FL013,KGEG,KTTD,Descent,15000,6
24,FL014,KEUG,KTTD,Approach,3000,4
25,FL000,KTTD,KEUG,Landing,0,0
25,FL001,KPDX,KBFI,Landing,0,0
25,FL002,KPDX,KRNT,Approach,3000,2
25,FL003,KGEG,KRNT,Landing,0,0
25,FL004,KRNT,KSEA,Approach,3000,0
25,FL005,KEUG,KRNT,Approach,3000,0
25,FL006,KPAE,KBOI,Landing,0,0
25,FL007,KSEA,KGEG,Approach,3000,0
25,FL008,KSEA,KGEG,Landing,0,2
25,FL009,KEUG,KBFI,Landing,0,2
25,FL010,KGEG,KRNT,Approach,3000,2
25,FL011,KGEG,KOLM,Descent,15000,4
25,FL012,KTTD,KBFI,Approach,3000,2
25,FL013,KGEG,KTTD,Descent,15000,6
25,FL014,KEUG,KTTD,Landing,0,4
26,FL000,KTTD,KEUG,Landing,0,0
26,FL001,KPDX,KBFI,Landing,0,0
26,FL002,KPDX,KRNT,Approach,3000,2
26,FL003,KGEG,KRNT,Landing,0,0
26,FL004,KRNT,KSEA,Landing,0,0
26,FL005,KEUG,KRNT,Approach,3000,0
26,FL006,KPAE,KBOI,Landing,0,0
26,FL007,KSEA,KGEG,Landing,0,0
26,FL008,KSEA,KGEG,Landing,0,2
26,FL009,KEUG,KBFI,Landing,0,2
26,FL010,KGEG,KRNT,Approach,3000,2
26,FL011,KGEG,KOLM,Descent,15000,4
26,FL012,KTTD,KBFI,Landing,0,2
26,FL013,KGEG,KTTD,Descent,15000,6
26,FL014,KEUG,KTTD,Landing,0,4
27,FL000,KTTD,KEUG,Landing,0,0
27,FL001,KPDX,KBFI,Landing,0,0
27,FL002,KPDX,KRNT,Approach,3000,2
27,FL003,KGEG,KRNT,Landing,0,0
27,FL004,KRNT,KSEA,Landing,0,0
27,FL005,KEUG,KRNT,Approach,3000,0
27,FL006,KPAE,KBOI,Landing,0,0
27,FL007,KSEA,KGEG,Landing,0,0
27,FL008,KSEA,KGEG,Landing,0,2
27,FL009,KEUG,KBFI,Landing,0,2
27,FL010,KGEG,KRNT,Landing,0,2
27,FL011,KGEG,KOLM,Approach,3000,4
27,FL012,KTTD,KBFI,Landing,0,2
27,FL013,KGEG,KTTD,Descent,15000,6
